sub_num,sub_id,subgroup,session,run,time,rand_rois_act,run_serial
sub-1123,1,4,1,1,ses-1_run-1,0.3343,1
sub-1126,2,6,1,1,ses-1_run-1,0.4550666666666667,1
sub-1130,3,3,1,1,ses-1_run-1,0.097566667,1
sub-1131,4,6,1,1,ses-1_run-1,-0.049486667,1
sub-1132,5,4,1,1,ses-1_run-1,0.8215666666666667,1
sub-1140,6,4,1,1,ses-1_run-1,0.4084,1
sub-1141,7,5,1,1,ses-1_run-1,-0.190416667,1
sub-1144,8,4,1,1,ses-1_run-1,0.5196666666666667,1
sub-1145,9,6,1,1,ses-1_run-1,-0.0269,1
sub-1149,10,5,1,1,ses-1_run-1,0.074483333,1
sub-1154,11,6,1,1,ses-1_run-1,,1
sub-1155,12,5,1,1,ses-1_run-1,-0.017733333,1
sub-1158,13,5,1,1,ses-1_run-1,0.000886667,1
sub-1167,14,6,1,1,ses-1_run-1,-0.043386667,1
sub-1169,15,6,1,1,ses-1_run-1,-0.068693333,1
sub-1174,16,3,1,1,ses-1_run-1,-0.180033333,1
sub-1176,17,3,1,1,ses-1_run-1,-0.3087,1
sub-1178,18,6,1,1,ses-1_run-1,,1
sub-1179,19,4,1,1,ses-1_run-1,,1
sub-1181,20,4,1,1,ses-1_run-1,0.6339333333333333,1
sub-1182,21,6,1,1,ses-1_run-1,0.516,1
sub-1183,22,5,1,1,ses-1_run-1,0.1146466666666666,1
sub-1185,23,6,1,1,ses-1_run-1,,1
sub-1189,24,3,1,1,ses-1_run-1,,1
